repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
naorlivne/terraformize,0.2867172142656557,0.0005356440828067923,0.0007035156551892405,0.000703515655189241,naorlivne/terraformize,155,python,311,710,1021
olivia-ai/olivia,0.29795001404099974,0.000535596447200072,0.0007431798445285841,0.0007431798445285831,olivia-ai/olivia,3720,go,274,787,1061
cocoindex-io/cocoindex,0.2951418140971637,0.0005351832685054438,0.0007832494677073313,0.0007832494677073308,cocoindex-io/cocoindex,7154,python,705,346,1051
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,0.3058129738837405,0.000534555837673463,0.0008886040575128437,0.0008886040575128437,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3989,python,887,202,1089
tungbq/devops-basics,0.28615557427688854,0.0005343879803936125,0.0007031776281410385,0.00070317762814104,tungbq/devops-basics,1851,hcl,69,950,1019
whyour/qinglong,0.29289525414209494,0.0005339833382678076,0.0007291945421371254,0.0007291945421371267,whyour/qinglong,19531,typescript,31,1012,1043
microsoft/CNTK,0.3024431339511373,0.0005337615916898345,0.0008684158765281455,0.0008684158765281456,microsoft/CNTK,17602,c++,373,704,1077
sansan0/TrendRadar,0.29795001404099974,0.0005336852892998431,0.0007971080320590921,0.000797108032059093,sansan0/TrendRadar,55788,python,176,885,1061
langgenius/dify,0.2968267340634653,0.0005335127286342937,0.00079174424998512,0.0007917442499851201,langgenius/dify,139613,typescript,428,629,1057
iterative/terraform-provider-iterative,0.29121033417579334,0.0005335100833442228,0.0007070155050699551,0.0007070155050699545,iterative/terraform-provider-iterative,295,go,468,569,1037
bee-san/Ciphey,0.29289525414209494,0.0005331108965054393,0.000778977101191471,0.0007789771011914713,bee-san/Ciphey,21363,rust,736,307,1043
